Referee_ID,Name,Nationality
COL_5,DIAZ PALACIO Jesus,COL
COL_6,PEREZ HOYOS Armando,COL
COL_7,TORRES CADENA Jose Joaquin,COL
COL_8,TORO RENDON John,COL
COL_9,ARANGO Jorge Luis,COL
CRC_1,SILES Jesus Paulino,CRC
CRC_2,ULLOA MORERA Berny,CRC
CRC_3,BADILLA Rodrigo,CRC
CRC_4,TORRES ZUNIGA Luis,CRC
CRC_5,MATTUS William,CRC
CRC_6,LEAL Leonel,CRC
CRO_1,MATOVINOVIC Damir,CRO
CUW_1,VAN ROSBERG Walter Jose,CUW
CZE_1,AMLER Evzen,CZE
DEN_1,HELGE Leo,DEN
DEN_2,JORGENSEN Carl Frederik,DEN
DEN_3,LUND-SORENSEN Henning,DEN
DEN_4,MIKKELSEN Peter,DEN
DEN_5,CHRISTENSEN Carl-Johan Meyer,DEN
DEN_6,NIELSEN Kim Milton,DEN
DEN_7,LARSEN Jens,DEN
ECU_1,JACOME GUERRERO Elias V.,ECU
ECU_2,MORENO Byron,ECU
ECU_3,FIERRO Bomer,ECU
ECU_4,TAMAYO Fernando,ECU
ECU_5,ROMERO Byron,ECU
ECU_6,VERA Carlos,ECU
ECU_7,LESCANO Christian,ECU
EGY_1,MOHAMED Youssuf,EGY
EGY_2,KANDIL Aly Hussein,EGY
EGY_3,KAMEL Mahmoud,EGY
EGY_4,HASSAN Abdel-Magid,EGY
EGY_5,EL GHANDOUR Gamal,EGY
EGY_6,FARAG Wagih,EGY
EGY_7,ABD EL FATAH Essam,EGY
ENG_1,READER George,ENG
ENG_10,DAGNALL Kenneth,ENG
ENG_11,TAYLOR John,ENG
ENG_12,PARTRIDGE Pat,ENG
ENG_13,WHITE Clive,ENG
ENG_14,COURTNEY George,ENG
ENG_15,DON Philip,ENG
ENG_16,PEARSON Roy,ENG
ENG_17,DURKIN Paul,ENG
ENG_18,WARREN Mark,ENG
ENG_19,POLL Graham,ENG
ENG_2,LEAFE Reginald,ENG
ENG_20,SHARP Philip,ENG
ENG_21,TURNER Glenn,ENG
ENG_22,WEBB Howard,ENG
ENG_23,Darren CANN,ENG
ENG_24,MULLARKEY Michael,ENG
ENG_3,ELLIS Arthur,ENG
ENG_4,LING William,ENG
ENG_5,ASTON Ken,ENG
ENG_6,FINNEY Jim,ENG
ENG_7,McCABE George,ENG
ENG_8,HOWLEY Kevin,ENG
ENG_9,CLEMENTS William,ENG
ERI_1,GEBREYESUS DIFUE Tesfaye,ERI
ESP_1,ESCARTIN Pedro,ESP
ESP_10,SANCHEZ ARMINIO Victoriano,ESP
ESP_11,SORIANO ALADREN Emilio,ESP
ESP_12,DIAZ VEGA Manuel,ESP
ESP_13,TRESACO GRACIA Fernando,ESP
ESP_14,GARCIA ARANDA Jose Maria,ESP
ESP_15,LOPEZ NIETO Antonio,ESP
ESP_16,GIRALDEZ CARRASCO Victoriano,ESP
ESP_17,MEDINA CANTALEJO Luis,ESP
ESP_18,MEDINA HERNANDEZ Pedro,ESP
ESP_19,MARTINEZ Fermin,ESP
ESP_2,AZON ROMA Ramon,ESP
ESP_20,YUSTE Juan,ESP
ESP_21,Alberto UNDIANO MALLENCO,ESP
ESP_22,ALONSO FERNANDEZ Roberto,ESP
ESP_23,Carlos VELASCO CARBALLO,ESP
ESP_3,ASENSI Manuel,ESP
ESP_4,GARDEAZABAL Juan,ESP
ESP_5,ORTIZ DE MENDIBIL Jose Maria,ESP
ESP_6,SANCHEZ IBANEZ Pablo,ESP
ESP_7,MARTINEZ Angel,ESP
ESP_8,LAMO CASTILLO Augusto,ESP
ESP_9,GARCIA CARRION Jose L.,ESP
ETH_1,TAREKEGN Seyoum,ETH
FIN_1,ERIKSSON Arne,FIN
FIN_2,YLI-KARRO Tapio,FIN
FRA_1,BALWAY Thomas,FRA
FRA_10,SDEZ Victor,FRA
FRA_11,KISSENBERGER Ernest,FRA
FRA_12,CAPDEVILLE Pierre,FRA
FRA_13,LECLERCQ Lucien,FRA
FRA_14,MERKCX Jean,FRA
FRA_15,BOUTOURE D.,FRA
FRA_16,TREHOU D.,FRA
FRA_17,VINCENTI Raymond,FRA
FRA_18,GUIGUE Maurice,FRA
FRA_19,SCHWINTE Pierre,FRA
FRA_2,BAERT Jacques,FRA
FRA_20,MACHIN Roger,FRA
FRA_21,WURTZ Robert,FRA
FRA_22,VAUTROT Michel,FRA
FRA_23,QUINIOU Joel,FRA
FRA_24,BATTA Marc,FRA
FRA_25,POUDEVIGNE Jacques,FRA
FRA_26,VEISSIERE Gilles,FRA
FRA_27,ARNAULT Frederic,FRA
FRA_28,DAGORNE Lionel,FRA
FRA_29,TEXIER Vincent,FRA
FRA_3,VALPREDE Ferdinand,FRA
FRA_30,POULAT Eric,FRA
FRA_31,St10N Alberto uis,FRA
FRA_32,DANSAULT Eric,FRA
FRA_33,UGO Laurent,FRA
FRA_34,Stephane LANNOY,FRA
FRA_4,MARENCO Paul,FRA
FRA_5,CONRIE Roger,FRA
FRA_6,POISSANT Louis,FRA
FRA_7,DE LA SALLE Charles,FRA
FRA_8,CAPDEVILLE Georges,FRA
FRA_9,OLIVE D.,FRA
FRG_1,SCHMETZER Emil,FRG
FRG_2,WEYLAND Hans Joachim,FRG
GAB_1,DIRAMBA Jean Fidele,GAB
GAM_1,Bakary GASSAMA,GAM
GDR_1,GLOECKNER Rudolf,GDR
GDR_2,PROKOP Adolf,GDR
GER_1,BIRLEM Alfred,GER
GER_10,ROTH Volker,GER
GER_11,KIRSCHEN Siegfried,GER
GER_12,SCHMIDHUBER Aron,GER
GER_13,KRUG Hellmut,GER
GER_14,SCHNEIDER Erich,GER
GER_15,HEYNEMANN Bernd,GER
GER_16,MERK Markus,GER
GER_17,MUELLER Heiner,GER
GER_18,SCHRAER Christian,GER
GER_19,SALVER Jan-Hendrik,GER
GER_2,DUSCH Albert,GER
GER_20,PICKEL Mike,GER
GER_21,Wolfgang STARK,GER
GER_22,BORSCH Mark,GER
GER_23,BRYCH Felix,GER
GER_24,LUPP Stefan,GER
GER_3,TSCHENSCHER Kurt,GER
GER_4,KREITLEIN Rudolf,GER
GER_5,OHMSEN Klaus,GER
GER_6,ALDINGER Heinz,GER
GER_7,SCHULENBURG Gerhard,GER
GER_8,BIWERSI Ferdinand,GER
GER_9,ESCHWEILER Walter,GER
GHA_1,DWOMOH Benjamin,GHA
GRE_1,VASSARAS Kyros,GRE
GUA_1,MENDEZ MOLINA Romulo,GUA
GUA_2,BATRES Carlos,GUA
HKG_1,CHAN Thomson Tam Sun,HKG
HON_1,CALIX GARCIA Raimundo,HON
HON_2,SALINAS Reynaldo,HON
HON_3,PASTRANA Carlos,HON
HUN_1,IVANCSICS Mihaly,HUN
HUN_10,VAGNER Laszlo,HUN
HUN_11,SZEKELY Ferenc,HUN
HUN_12,KASSAI Viktor,HUN
HUN_13,EROS Gabor,HUN
HUN_14,VAMOS Tibor,HUN
HUN_2,VON HERTZKA Pal,HUN
HUN_3,ZSOLT Istvan,HUN
HUN_4,DOROGI Andor,HUN
HUN_5,EMSBERGER Gyula,HUN
HUN_6,PALOTAI Karoly,HUN
HUN_7,NEMETH Lajos,HUN
HUN_8,PUHL Sandor,HUN
